	PC1	PC2
k141_8010	-1.812313707572033	-2.2424675154702145
k141_20025	-9.527748088610835	-2.213994454672909
k141_12015	1.5979032263422124	3.904646405569183
k141_4005	-5.8139627031524315	-1.317293312411114
k141_24031	5.5795919990681835	2.8083549397369962
k141_12017	-3.9234148862986364	1.2475866933669018
k141_20028	20.501295938511813	4.376824608702067
k141_4007	6.103155851935758	1.1743585455053354
k141_28038	6.571868694477592	-0.807953700899756
k141_16022	-7.990589294935113	-4.7428439133108355
k141_12018	-10.275288775659595	-4.175343791102689
k141_9	-0.6368415567213807	2.9755159124131625
k141_16024	-11.993547052307422	9.066304559702585
k141_28041	7.4465298134922975	-2.6472508682317026
k141_10	-5.3370992413899625	2.3979950502976206
k141_28042	6.427098986326177	0.21325576749538638
k141_11	7.45150312326036	1.8206245129402312
k141_12020	5.5477316577303135	-4.15596271967424
k141_24033	-8.11758782146895	0.25694901788623514
k141_28043	17.474544015634855	1.245427045811397
k141_28044	-8.684821178472754	-4.792061008572724
k141_20037	5.240590891756137	-1.6261521602757927
k141_15	15.533105519744733	5.78132355566296
k141_28045	11.204563488470958	-0.49511357173340964
k141_16	-0.08804806930927894	1.5096251555128355
k141_20039	-8.856899521015611	-0.8109217573292093
k141_8013	1.2083985387496279	-0.7862149816139679
k141_12022	-8.063200859911424	1.9410793179503285
k141_24034	-6.6931395897901265	-5.873680837416134
k141_4021	-10.641570864536364	-1.8651057832124056
k141_20040	12.367101639468043	-2.8938902617876483
k141_12023	17.464778573138304	5.897458821861859
k141_17	-8.96138372490859	-1.9176153205541526
k141_8015	-0.44471938242990444	-5.588875042736504
k141_20041	-8.266907398005271	-1.9602087895429703
k141_4024	-6.492749654856881	-0.2449855883444227
k141_24035	1.0531205644533541	-1.222064218719289
k141_28051	4.351789395116538	-4.3538671243576585
k141_22	-8.455711996785134	4.189042765190937
k141_8018	2.5280316277691997	-4.002061958630019
k141_20042	8.670132386533004	1.9781000062754632
k141_28052	2.49147100925401	-0.961037250718424
k141_24036	-8.426080716122215	-2.88298860092364
k141_12025	-3.219760951510753	-3.955689113539793
k141_20043	-7.750189114500047	2.16681160293617
k141_24037	-5.827049792755555	-3.8063224444630164
k141_20044	-19.19907948409466	7.797621589663185
k141_8024	5.437695936509151	2.9241146701572847
k141_24038	3.4837484909150067	4.810799581981019
k141_28060	-4.834023245058175	3.958135513318066
k141_31	7.576194245121593	-7.771495855372626
k141_28064	-3.473736668123705	-4.032627245097119
k141_20053	-3.995120754336182	-3.7326531445547815
k141_4026	-6.090278519175801	-3.509648443673141
k141_28065	2.2471162372583966	0.7295620304603109
k141_35	7.951035735420431	-4.081746982932145
k141_8028	-9.153022820130614	0.21291222084148786
k141_24042	1.246949634887394	-4.862973041031005
k141_20055	-2.9349877987520863	-4.688805371035824
k141_36	9.260181666686302	-3.5344512850087764
k141_20058	14.907126230436045	6.2911103321571495
k141_38	12.951236787814468	7.564932985320611
k141_8030	-6.906155566538761	-4.3672627795914964
k141_20060	-10.989034713595732	0.4513783559678589
k141_8031	22.9250921960304	6.674456845587793
k141_12029	-10.297879113009397	-7.0332498072333145
k141_4028	-7.124998555950198	-4.375756691843527
k141_24047	-5.465023860419192	-3.868991200462813
k141_24050	8.877718495052541	-2.907368121068255
k141_20061	-11.946237740479907	-4.907072316968558
k141_44	20.505811959537475	5.430860491525869
k141_28074	19.49008017809144	8.237629679170158
k141_4035	9.979829957688233	-2.8444735593154222
k141_20062	9.568364364580674	0.677481744446954
k141_24051	23.670336763413765	5.799089081446664
k141_8033	-20.877055875091564	13.985826572301448
k141_12033	-11.186094008132141	9.026868060158487
k141_20065	-9.702199760188467	-1.6155369957254868
k141_8039	-4.159010695825841	-1.5057342367884698
k141_24060	5.000709844499179	-0.20675466166184064
k141_12037	0.17157094121500638	-5.6700492702466505
k141_28077	4.034545784604576	-8.00201348698317
k141_24061	-0.8346919651598171	-4.372968838045298
k141_20066	-15.138245748237559	8.732626281917204
k141_24064	-10.732011824480557	-3.018460418815227
k141_28089	-2.410988558276114	0.19262884917624015
k141_20072	0.6602998017358421	-2.9654934408417883
k141_28090	18.35227908032185	6.763993459637014
k141_20073	-13.139188522487146	-0.5181659884678621
k141_24071	-9.12897937457863	-3.431999711001815
k141_4037	-12.823360777820781	-7.301041221749179
k141_20074	5.419029307012456	-6.671237286668486
k141_24072	-9.615602076369907	-2.061766939181499
